"bin","ID","time_start_sec","time_end_sec","Distance_m","Mean_speed_m_s","Max_speed_m_s","Time_immobile_s","Immobile_episodes","Absolute_turn_angle_deg","Meander_deg_per_m","Bottom_entries","Bottom_time_s","Middle_entries","Middle_time_s","Top_entries","Top_time_s","Mean_dist_from_bottom_m","Acceleration_episodes_500ms","Acceleration_time_s","Tortuosity_episodes_1s","Tortuosity_time_s","Zone_count","IM_time_s","IM_episodes","NB_time_s","NB_episodes","HS_time_s","HS_episodes","TR_time_s","TR_episodes"
1,29,0,30,0,0,0.00470992843412574,30,0,0,NA,0,30,0,0,0,0,0.00253800293427661,0,0,0,0,3,30,1,0,0,0,0,0,0
2,29,30,60,0.0660903639697874,0.00220301213232625,0.0352616329274183,20.9,0,2.77691943026697,42.0170091896667,0,30,0,0,0,0,0.003791368877822,0,0,0,0,3,6.26666666666667,6,23.3666666666667,8,0,0,0.366666666666667,1
3,29,60,90,0.17799607298512,0.00593320243283734,0.0439691997490628,0,0,379.631378733259,2132.80760842962,1,17.8333333333333,3,5.8,1,6.33333333333333,0.0328658448109511,0,0,0,0,3,0.366666666666667,1,28.8666666666667,5,0,0,0.766666666666667,0
4,29,90,120,0.17958526494795,0.00598617549826499,0.0370663413670703,0,0,660.984966717901,3680.61915831167,1,25.5666666666667,0,4.2,0,0,0.0151482154324818,0,0,0,0,3,0,0,30,1,0,0,0,0
5,29,120,150,0.144453337886421,0.00481511126288071,0.0538218870526506,0,0,179.812857835396,1244.78160537056,0,30,0,0,0,0,0.00665744057664098,0,0,0,0,3,0.4,1,29.6,2,0,0,0,0
6,29,150,180,0.159406138297824,0.00531353794326079,0.0498365741864,0,0,184.618476664934,1158.16416253686,0,30,0,0,0,0,0.0064810615780479,0,0,0,0,3,1.1,2,28.4666666666667,4,0.433333333333333,1,0,0
7,29,180,210,0.116364355685553,0.00387881185618509,0.0344595693230759,0,0,208.635512237478,1792.95034985856,0,30,0,0,0,0,0.00897291424642131,0,0,0,0,3,3.3,3,26.1666666666667,3,0.533333333333333,1,0,0
8,29,210,240,0.242105042195828,0.00807016807319426,0.052861030881394,0,0,551.556734718208,2278.17120087932,0,29,0,0,0,0,0.00428789551750062,0,0,0,0,3,0.666666666666667,1,29.3333333333333,1,0,0,0,0
9,29,240,270,0.382570123596622,0.0127523374532207,0.0415684557118071,0,0,245.838920249926,642.598324037283,0,29.2333333333333,0,0,0,0,0.00673002593968645,0,0,0,0,3,0.366666666666667,1,29.3,3,0.333333333333333,1,0,0
10,29,270,300,0.517358996417115,0.0172452998805705,0.0504949862149653,0,0,376.849255144726,728.409591317699,0,29.0333333333333,0,0,0,0,0.00374355006932615,0,0,0,0,3,0,0,29.7,2,0.3,0,0,0
1,30,0,30,1.50771686585971,0.0502572288619905,0.118694493596795,0,0,2245.99591594171,1489.66690417768,0,30,0,0,0,0,0.0147473962519621,3,2,2,1.23333333333333,3,0,0,24.2333333333333,9,5.76666666666667,9,0,0
2,30,30,60,1.97760949832964,0.0659203166109881,0.111121769309671,0,0,3544.524503927,1792.32781139089,0,20.3,3,3.63333333333333,3,6.06666666666667,0.0352723579306033,4,2.5,2,1.56666666666667,3,0,0,23.1666666666667,6,6.83333333333333,6,0,0
3,30,60,90,2.24581268664065,0.0748604228880217,0.13111116725306,0,0,3746.04814669371,1668.01450939221,1,19.9,1,1.76666666666667,0,8.33333333333333,0.0386450155772223,10,6.93333333333333,7,4.23333333333333,3,0,0,26.0333333333333,5,3.9,3,0.0666666666666667,0
4,30,90,120,1.59904915453743,0.0533016384845809,0.0872135237186,0,0,2549.84499688058,1594.60075986107,0,30,0,0,0,0,0.0147955807293706,4,2.06666666666667,6,3.13333333333333,3,0,0,29.7333333333333,2,0,0,0.266666666666667,0
5,30,120,150,2.04424860430559,0.0681416201435197,0.102357017577828,0,0,4129.23143784591,2019.92626001991,6,19.4333333333333,7,7.1,1,3.46666666666667,0.0311514786429473,6,3.96666666666667,6,4.86666666666667,3,0,0,25.2333333333333,5,4.76666666666667,3,0,0
